"","course_desc_short","n"
"1","Bachelor of Education (Primary) at ACU, Strathfield campus",1079
"2","Bachelor of Primary Education at University of Wollongong",925
"3","Bachelor of Education (Primary) at University of Newcastle",850
"4","Bachelor of Education (Sec: Humanities & Social Sciences)/Bachelor of Arts at University of Sydney",581
"5","Bachelor of Arts(Pathway to Teaching Primary)/Master of Teach (Primary) at Western Sydney University",496
"6","Bachelor of Arts and Bachelor of Education (Primary) at Macquarie University",484
"7","Bachelor of Arts with Bachelor of Education (Primary) at Macquarie University",456
"8","Bachelor of Education (Secondary) at University of Newcastle",428
"9","Bachelor of Arts with Bachelor of Education (Secondary) at Macquarie University",401
"10","Bachelor of Arts/Bachelor of Education (Secondary) at UNSW",395
"11","Bachelor of Education (Primary Education) at University of Sydney",391
"12","Bachelor of Education (Early Childhood and Primary) at University of Newcastle",383
"13","Bachelor of Teaching/Bachelor of Arts (Secondary - Humanities) at ACU, Strathfield campus",381
"14","Bachelor of Education (Primary) and Bachelor of Psychology at Macquarie University",380
"15","Bachelor of Education (Primary) at ACU, North Sydney campus",321
"16","Bachelor of Arts and Bachelor of Education (Secondary) at Macquarie University",316
"17","Bachelor of Health and Physical Education at University of Wollongong",305
"18","Bachelor of Science/Bachelor of Education (Secondary) at UNSW",262
"19","B Arts(Pathway to Teaching Secondary)/M Teaching(Secondary) at Western Sydney University",251
"20","Bachelor of Arts - Psychology with Bachelor of Education (Primary) at Macquarie University",245
"21","Bachelor of Education (Secondary: Mathematics)/Bachelor of Science at University of Sydney",231
"22","Bachelor of Education (Early Childhood and Primary) at ACU, Strathfield campus",217
"23","Bachelor of Teaching/Bachelor of Arts (Secondary-Technology) at ACU, Strathfield campus",182
"24","Bachelor of Teaching (Primary)(Honours)at University of Newcastle, Callaghan campus",181
"25","Bachelor of Science with Bachelor of Education (Secondary) at Macquarie University",162
"26","Bachelor of Arts (Pathway to Teach Primary)/Master of Teach (Primary) at Western Sydney University",156
"27","Bachelor of Music (Music Education) at University of Sydney",151
"28","Bachelor of Arts (Pathway to Teaching Primary)/Master of Teaching (Primary) at UWS",145
"29","Bachelor of Fine Arts/Bachelor of Education (Secondary) at UNSW",138
"30","Bachelor of Education (Secondary) - Humanities and Arts Stream at University of Newcastle",130
"31","B Health Science (Hlth & Phys Educ) Pwy to Teach(Sec)/M Teach (Sec) at Western Sydney University",119
"32","Bachelor of Education - The Early Years at University of Wollongong",112
"33","Bachelor of Education (Secondary) - STEM Stream at University of Newcastle",108
"34","Bachelor of Teaching (Humanities) (Honours) at University of Newcastle, Callaghan campus",108
"35","Diploma in Health Science (Health and Physical Education) (Extended) at Western Sydney, The College",107
"36","Bachelor of Education (Health and Physical Education) at University of Sydney",103
"37","Bachelor of Health Science (Health and Physical Education) at Western Sydney University",101
"38","Diploma in Arts/Bachelor of Arts (Pathway to Teaching Primary) at Western Sydney, The College",100
"39","Diploma in Arts (Extended) - Pathway to Teaching Primary at Western Sydney, The College",96
"40","Bachelor of Education (K-12) at Charles Sturt University, Wagga Wagga",93
"41","Bachelor of Education (Secondary) - Health and Physical Education Stream at University of Newcastle",93
"42","Bachelor of Education (Secondary: Science)/Bachelor of Science at University of Sydney",93
"43","Bachelor of Education (Secondary)/Bachelor of Exercise Science at ACU, Strathfield campus",88
"44","Bachelor of Science Education at University of Wollongong",87
"45","B Arts(Pathway Teaching Birth-5Yr/Birth-12Yr)/M Teaching(B-5Yr/B-12Yr)at Western Sydney University",86
"46","Bachelor of Education (Primary) at ACU, Blacktown  campus",86
"47","Bachelor of Science and Bachelor of Education (Secondary) at Macquarie University",85
"48","Bachelor of Education (Early Childhood Education)(Birth to 12) at Macquarie University",84
"49","Bachelor of Education (Early Childhood) at University of Sydney",82
"50","Bachelor of Teaching (Early Childhood & Primary) (Honours) at University of Newcastle, Callaghan",82
"51","Bachelor of Teaching (Early Childhood Education)  at Macquarie University",82
"52","Bachelor of Mathematics Education at University of Wollongong",79
"53","Bachelor of Teaching (Early Childhood Education) at Macquarie University",77
"54","Bachelor of Education (K-12) at Charles Sturt University, Bathurst",75
"55","Bachelor of Education (K-12) at Charles Sturt University, Port Macquarie",75
"56","Bachelor of Arts Bachelor of Education at University of Technology Sydney",73
"57","Bachelor of Education (Early Childhood and Primary) at Charles Sturt University, Bathurst",71
"58","Bachelor of Early Childhood Education (Birth to Five Years)at ACU, Strathfield campus",70
"59","Bachelor of Education (Early Childhood and Primary) at ACU, North Sydney campus",70
"60","Bachelor of Teaching/Bachelor of Arts (Secondary - Visual Arts) at ACU, Strathfield campus",69
"61","Diploma of General Studies at Charles Sturt University, Bathurst campus",68
"62","Bachelor of Inclusive Education and Disability Studies at ACU, Strathfield campus",66
"63","Bachelor of Arts (Pwy to Teach Secondary)/Master of Teach (Secondary) at Western Sydney University",64
"64","Bachelor of Arts Bachelor of Education (Primary) at University of Technology Sydney",64
"65","Bachelor of Education (Primary and Secondary) at ACU, Strathfield campus",64
"66","Bachelor of Education (Secondary) - Humanities and Art Stream at University of Newcastle",62
"67","Bachelor of Primary Education at University of Canberra",62
"68","Diploma in Health Science/B Health Sc (Health and Physical Education) at Western Sydney, The College",62
"69","Bachelor of Education (Secondary) at University of Sydney",60
"70","Bachelor of Teaching(Health & Physical Edu)(Honours) at University of Newcastle",60
"71","Bachelor of Arts (Pathway to Teaching Secondary)/Master of Teaching (Secondary) at UWS",58
"72","Bachelor of Primary Education (Dean's Scholar) at University of Wollongong",57
"73","Bachelor of Early Childhood Education (Birth to Five Years)at ACU, North Sydney campus",56
"74","Bachelor of Education (Secondary)/Bachelor of Arts (Humanities) at ACU, Strathfield campus",56
"75","Bachelor of Education (Early Childhood and Primary) at Charles Sturt University, Wagga Wagga",52
"76","Diploma in Educational Studies (Tertiary Preparation) at ACU, Strathfield campus",52
"77","Bachelor of Music/Bachelor of Education (Secondary) at UNSW",48
"78","Bachelor of Primary Education at The University of Notre Dame Australia",46
"79","B Education (Secondary)/B Arts (Design Innovation & Tech) at ACU, Strathfield campus",45
"80","Bachelor of Commerce and Bachelor of Education (Secondary) at Macquarie University",44
