"","x"
"1","AD of Intl Tourism and Hotel Management at Southern Cross University, The Hotel School Brisbane"
"2","AD of lentil Tourism and Hotel Management at Southern Cross University, The Hotel School, Sydney"
"3","AD of International Tourism and Hotel Management at Southern Cross University, The Hotel School"
"4","Ass Deg of Football (Devel Mgt & Performance) at Australian College of Physical Education"
"5","Associate Degree of Teacher Education at La Trobe University"
"6","Associate Degree of Sports Business at Australian College of Physical Education (DFEE)"
"7","B Physical Activity for Health (Pathway to Education) at Australian College of Physical Education"
"8","Bachelor of Outdoor and Sustainability Education at La Trobe University"
"9","B Health & Physical Education Pway to Teaching/M Teaching (Secondary) at Western Sydney University"
"10","Bachelor of Health and Physical Education at Western Sydney University"
"11","Bachelor of Business in Hotel Management at Southern Cross University, The Hotel School, Brisbane"
"12","Bachelor of Business in Hotel Management at Southern Cross University, The Hotel School, Melbourne"
"13","Bachelor of Social Science (Pathway to Primary Education) at University of Wollongong"
"14","Bachelor of Education - The Early Years at University of Wollongong"
"15","Bachelor of Primary Education at University of Wollongong"
"16","Bachelor of Education - The Early Years (Flexible) at University of Wollongong"
"17","Bachelor of Science Education at University of Wollongong"
"18","Bachelor of Mathematics Education at University of Wollongong"
"19","Bachelor of Health and Physical Education at University of Wollongong"
"20","Bachelor of Psychological Science (Pathway to Primary Education) at University of Wollongong"
"21","Bachelor of Primary Education/Master of Autism at University of Wollongong"
"22","Bachelor of Science - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"23","Bachelor of Business (Pwy Teaching Sec)/M Teaching (Sec) at Western Sydney University"
"24","Bachelor of Business (Pwy to Teaching Sec)/M Teaching (Sec) at Western Sydney University"
"25","B Health Science (Hlth & Phys Educ) Pwy to Teach(Sec)/M Teach (Sec) at Western Sydney University"
"26","B Education (Primary) - Aboriginal and Torres Strait Islander Education at Western Sydney University"
"27","Bachelor of Education (Primary) at Western Sydney University"
"28","Bachelor of Graphic Design (PwyTeaching Sec)/M Teaching (Sec) at Western Sydney University"
"29","B Arts (P Teach B-5Yrs/B-12Yrs)/M Teaching (B-5Yrs/B-12Yrs) Diploma Pwy at Western Sydney University"
"30","B Arts(Pathway Teaching Birth-5Yr/Birth-12Yr)/M Teaching(B-5Yr/B-12Yr) at Western Sydney University"
"31","B Arts(Pathway to Teaching Secondary)/M Teaching(Secondary) at Western Sydney University"
"32","Bachelor of Arts(Pathway to Teaching Primary)/Master of Teach (Primary) at Western Sydney University"
"33","Bachelor of Health Science (Health and Physical Education) at Western Sydney University"
"34","B Arts(Pathway to Teach Secondary)(Dean's Scholars)/M Teach (Secondary) at Western Sydney University"
"35","B Arts (Pathway to Teach Primary)(Dean's Scholars)/M Teach (Primary) at Western Sydney University"
"36","Bachelor of Secondary Education at The University of Notre Dame Australia"
"37","Bachelor of Primary Education at The University of Notre Dame Australia"
"38","Bachelor of Fine Art at National Art School (DFEE)"
"39","B Economics M Teaching in Secondary Education (Business Studies and Economics) at UTS"
"40","B Business M Teaching in Secondary Education (Business Studies and Economics) at UTS"
"41","B Business M Teaching in Secondary Education (Business Studies) at UTS"
"42","B Technology M Teaching in Secondary Education (TAS-Computing/Mathematics) at UTS"
"43","B Communication (Writing and Publishing)M Teaching in Sec Ed (English/Society & Culture) at UTS"
"44","B Communication (Writing and Publishing)M Teaching in Secondary Ed (English/EALD) at UTS"
"45","B Communication (Writing and Publishing)M Teaching in Secondary Education (English) at UTS"
"46","B Science M Teaching in Secondary Ed (Maths & Maths/Physics) at UTS"
"47","B Science M Teaching in Secondary Education (Chemistry and Physics) at UTS"
"48","B Science M Teaching in Secondary Education (Biology,Chemistry & Environmental Science) at UTS"
"49","Bachelor of Education Secondary at Charles Darwin University, Casuarina campus or Online"
"50","Bachelor of Education Primary at Charles Darwin University, Casuarina campus or Online"
"51","B Ed in Early Childhood Teaching(Birth-12Y) at Charles Darwin University, Casuarina campus or Online"
"52","B Bus(International Hotel & Resort Mgt)at Blue Mountains International Hotel Mgt School, TUA(DFEE)"
"53","Bachelor of Software Engineering (Artificial Intelligence) at Media Design School, TUA (DFEE)"
"54","Bachelor of Software Engineering (Game Programming) at Media Design School, TUA (DFEE)"
"55","Bachelor of Game Design and Development at Media Design School, TUA (DFEE)"
"56","Bachelor of Music (Music Education) at University of Sydney"
"57","Bachelor of Education/Bachelor of Advanced Studies (Secondary) at University of Sydney"
"58","Bachelor of Education (Secondary) at University of Sydney"
"59","Bachelor of Education (Primary Education) at University of Sydney"
"60","Bachelor of Education (Health and Physical Education) at University of Sydney"
"61","Bachelor of Education (Early Childhood) at University of Sydney"
"62","Bachelor of Education (Secondary) at University of Newcastle"
"63","Bachelor of Education (Primary) at University of Newcastle"
"64","Bachelor of Education (Early Childhood and Primary) at University of Newcastle"
"65","Bachelor of Music/Bachelor of Education (Secondary) at UNSW"
"66","Bachelor of Media Arts/Bachelor of Education (Secondary) at UNSW"
"67","Bachelor of Design/Bachelor of Education (Secondary) at UNSW"
"68","Bachelor of Fine Arts/Bachelor of Education (Secondary) at UNSW"
"69","Bachelor of Economics/Bachelor of Education (Secondary) at UNSW"
"70","Bachelor of Commerce/Bachelor of Education (Secondary) at UNSW"
"71","Bachelor of Science/Bachelor of Education (Secondary) at UNSW"
"72","Bachelor of Arts/Bachelor of Education (Secondary) at UNSW"
"73","Bachelor of Education (K-6 Teaching) at University of New England"
"74","Bachelor of Special and Inclusive Education (Primary) at University of New England"
"75","Bachelor of Educational Studies at University of New England"
"76","Bachelor of Education (K-12 Teaching) at University of New England"
"77","Bachelor of Education (Early Childhood and Primary) at University of New England"
"78","Bachelor of Education (Secondary STEM) at University of New England"
"79","Bachelor of Education (Secondary Arts) at University of New England"
"80","Bachelor of Early Childhood and Primary Education at University of Canberra"
"81","Bachelor of Secondary Education/Bachelor of Science at University of Canberra"
"82","Bachelor of Secondary Education/Bachelor of Arts at University of Canberra"
"83","Bachelor of Secondary Education (Health and Physical Education) at University of Canberra"
"84","Bachelor of Primary Education (Health and Physical Education) at University of Canberra"
"85","Bachelor of Primary Education (STEM) at University of Canberra"
"86","Bachelor of Primary Education (Creative Arts) at University of Canberra"
"87","Bachelor of Primary Education at University of Canberra"
"88","Bachelor of Business in Hotel Management at Southern Cross University, The Hotel School, Sydney"
"89","Bachelor of Education (Secondary) at Southern Cross University, Coffs Harbour campus"
"90","Bachelor of Education (Primary/Secondary) at Southern Cross University, Coffs Harbour campus"
"91","Bachelor of Education (Early Childhood/Primary) at Southern Cross University, Coffs Harbour campus"
"92","Bachelor of Education (Primary) at Southern Cross University, Coffs Harbour campus"
"93","Bachelor of Education (Secondary) at Southern Cross University, Gold Coast campus"
"94","Bachelor of Education (Primary/Secondary) at Southern Cross University, Gold Coast campus"
"95","Bachelor of Education (Early Childhood/Primary) at Southern Cross University, Gold Coast campus"
"96","Bachelor of Education (Primary) at Southern Cross University, Gold Coast campus"
"97","Bachelor of Early Childhood Education at Southern Cross University, Gold Coast"
"98","Bachelor of Education (Secondary) at Southern Cross University, Lismore campus"
"99","Bachelor of Education (Primary/Secondary) at Southern Cross University, Lismore campus"
"100","Bachelor of Education (Early Childhood/Primary) at Southern Cross University, Lismore campus"
"101","Bachelor of Education (Primary) at Southern Cross University, Lismore"
"102","Bachelor of Early Childhood Education at Southern Cross University, Lismore campus"
"103","Bachelor of Science and Bachelor of Education (Secondary) at Macquarie University"
