,,Year,,,,
Years in profession,All respondents,2018,2019,2020,2021,2022
1-5 years (early career),All Workforce,3655,6574,7531,5550,8173
6-9 years,All Workforce,2343,4189,5044,4388,6461
10-19 years,All Workforce,4253,8605,9462,9142,12480
20-29 years,All Workforce,2567,5103,6113,5950,7639
30-39 years,All Workforce,2282,4524,5023,5191,5525
40 or more years,All Workforce,1483,2318,3438,4131,4420
,,,,,,
Data source: ATWD 2024; Teacher Survey (2018-2022),,,,,,
Figure: Workforce characteristics; by workforce group (Dropdown selections: Years in profession and All respondents),,,,,,
